UniqueID,Value
957,0.27721949598144324
977,0.7802458960854087
588,0.35288420487545225
282,0.018434812865154693
868,0.5717156202447992
871,0.04769086038683423
744,0.6853668850446962
708,0.5519225891769077
697,0.5058784283289599
191,0.12149244958351535
518,0.8664621755045333
139,0.22934862116093302
656,0.8325153520541971
847,0.08376327495648783
903,0.9249686002276434
807,0.49959144046796244
48,0.8820473255440101
808,0.9175054686808894
387,0.18123252115615918
231,0.021469875511019088
520,0.5642701005232793
340,0.8502532170818355
967,0.23300893659384958
893,0.977501126743943
848,0.6002765235824471
892,0.5844272618040538
111,0.8361454283847526
983,0.5790107996656615
632,0.1602073482416958
715,0.3124433919317148
329,0.4965584639036288
953,0.8787472961143257
394,0.7243331165562765
344,0.807021490409579
176,0.5082127029048356
753,0.11798035702015164
557,0.018305880897610205
852,0.30716721618632603
312,0.6319480773221423
179,0.6306472778869436
542,0.4468655208143798
684,0.9538056758046677
989,0.1252447001265422
581,0.7299760955329081
756,0.23583818950865
299,0.8402655859959588
551,0.6868666598223492
682,0.06227860406747865
533,0.22234834815048932
242,0.6161690046836052
414,0.45663376104241915
186,0.4352040641231836
847,0.7406720153438133
851,0.056599966491315934
278,0.10459764484343537
348,0.3326078512805516
933,0.16236055515050518
44,0.42448583605041035
20,0.10151785851255501
718,0.3363846873915022
774,0.6315240415529423
916,0.017089665848469382
965,0.24540325334169988
425,0.6239384574968786
685,0.33710348217589314
199,0.4679251363615117
873,0.28694732040736015
390,0.1517370223307345
276,0.7324258667800734
421,0.6893853189967432
106,0.023287826662868327
642,0.5075542726384108
200,0.8051549160780612
882,0.4236362053683771
699,0.5477370528114335
301,0.7561029560056556
984,0.828371111119917
79,0.1581896534031796
843,0.08680452351562296
579,0.8336900334033823
892,0.7524505501813004
640,0.6851289734690015
704,0.555445347489398
657,0.2031844251636722
25,0.6344559497301051
78,0.5328338447552259
522,0.2638727796726532
95,0.7624903276896546
824,0.11080759726617151
61,0.5587155771139208
139,0.9358246034347643
678,0.07920632947438844
404,0.059464041832319015
136,0.35348545010071275
872,0.8972799135478263
465,0.33603470724255424
226,0.4191035485957937
562,0.6289565254981234
14,0.982912471979906
145,0.6067975314783919
